Order ID,Order Date,Customer ID,Product Name,Category,Sales Amount,Quantity,Discount,Profit,Region,Customer Segment
ORD0039,2023-11-07,CUST501,Chair,Furniture,448.06,7,0.15,23.85,West,Business
ORD0040,2023-12-31,CUST397,Laptop,Electronics,344.09,8,0.08,14.04,North,Consumer
ORD0041,2024-11-07,CUST432,Smartphone,Electronics,398.21,9,0.29,3.15,East,Home Office
ORD0042,2024-09-01,CUST578,Chair,Furniture,157.3,9,0.22,-24.92,North,Consumer
ORD0043,2024-01-16,CUST162,Smartphone,Electronics,69.3,2,0.12,1.94,South,Business
ORD0044,2024-03-09,CUST961,Shirt,Clothing,199.48,8,0.01,21.03,South,Consumer
ORD0045,2023-08-03,CUST805,Jacket,Clothing,263.7,10,0.11,47.05,South,Business
ORD0046,2023-03-23,CUST709,Shirt,Clothing,134.71,4,0.23,-2.59,South,Consumer
ORD0047,2023-08-02,CUST106,Bookshelf,Furniture,432.47,3,0.13,67.12,West,Home Office
ORD0048,2024-04-21,CUST880,Pen,Office Supplies,402.92,2,0.07,11.36,North,Business
ORD0049,2024-02-25,CUST835,Jeans,Clothing,343.58,10,0.16,-27.77,South,Business
ORD0050,2023-06-04,CUST790,Jacket,Clothing,366.23,3,0.28,-24.92,North,Consumer
ORD0051,2024-04-03,CUST808,Pen,Office Supplies,232.64,1,0.01,10.55,North,Home Office
ORD0052,2023-07-08,CUST484,Printer,Office Supplies,465.87,10,0.14,52.95,West,Consumer
ORD0053,2023-07-11,CUST768,Shirt,Clothing,53.58,5,0.14,5.73,West,Consumer
ORD0054,2024-09-21,CUST487,Headphones,Electronics,132.83,5,0.14,4.99,North,Home Office
ORD0055,2023-06-24,CUST343,Chair,Furniture,281.83,6,0.1,38.95,North,Consumer
ORD0056,2023-11-26,CUST837,Table,Furniture,387.09,1,0.09,19.98,North,Consumer
ORD0057,2023-07-08,CUST782,Pen,Office Supplies,430.81,3,0.2,13.12,South,Business
ORD0058,2024-06-18,CUST716,Shirt,Clothing,456.12,6,0.07,104.62,South,Consumer
ORD0059,2023-01-02,CUST128,Smartphone,Electronics,393.96,5,0.19,30.34,North,Business
ORD0060,2024-11-07,CUST165,Laptop,Electronics,404.59,6,0.21,-63.19,West,Business
ORD0061,2023-03-08,CUST274,Smartphone,Electronics,61.64,5,0.27,0.42,East,Business
ORD0062,2024-08-14,CUST288,Printer,Office Supplies,145.89,4,0.0,14.54,West,Consumer
ORD0063,2024-03-17,CUST399,Table,Furniture,118.18,1,0.07,8.35,East,Home Office
ORD0064,2024-04-25,CUST529,Chair,Furniture,488.64,4,0.18,43.77,North,Business
ORD0065,2023-06-21,CUST975,Pen,Office Supplies,313.04,7,0.22,24.73,North,Consumer
ORD0066,2023-05-05,CUST484,Table,Furniture,197.76,6,0.27,-37.66,East,Consumer
ORD0067,2023-10-06,CUST547,Smartphone,Electronics,54.71,8,0.21,2.12,East,Business
ORD0068,2024-06-10,CUST397,Jacket,Clothing,50.71,5,0.16,2.17,West,Home Office
ORD0069,2024-09-07,CUST403,Table,Furniture,161.16,5,0.17,15.1,South,Home Office
ORD0070,2024-09-26,CUST324,Bookshelf,Furniture,123.33,7,0.12,-5.4,West,Consumer
ORD0071,2023-01-13,CUST729,Jacket,Clothing,312.79,4,0.14,-2.58,North,Home Office
ORD0072,2023-07-16,CUST843,Smartphone,Electronics,431.7,10,0.26,-81.36,North,Consumer
ORD0073,2024-03-04,CUST572,Headphones,Electronics,468.95,9,0.08,-7.06,North,Consumer
ORD0074,2024-02-14,CUST287,Jacket,Clothing,403.54,6,0.2,35.22,South,Business
ORD0075,2023-09-09,CUST607,Laptop,Electronics,361.44,2,0.03,73.36,West,Business
ORD0076,2024-04-11,CUST996,Notebook,Office Supplies,350.57,9,0.26,-12.74,West,Home Office
ORD0077,2024-03-26,CUST738,Laptop,Electronics,472.42,1,0.15,40.63,East,Home Office
ORD0078,2024-09-02,CUST796,Smartphone,Electronics,65.26,6,0.08,10.29,West,Home Office
ORD0079,2024-08-19,CUST238,Chair,Furniture,344.02,1,0.28,-27.54,East,Home Office
ORD0080,2024-01-19,CUST427,Jacket,Clothing,297.68,6,0.06,27.08,East,Consumer
ORD0081,2024-08-30,CUST208,Jacket,Clothing,488.95,8,0.24,-80.85,North,Business
ORD0082,2024-07-21,CUST885,Smartphone,Electronics,324.48,6,0.03,79.6,North,Consumer
ORD0083,2023-08-06,CUST778,Notebook,Office Supplies,419.87,9,0.07,6.41,East,Home Office
ORD0084,2023-09-13,CUST613,Jacket,Clothing,447.23,1,0.2,13.72,South,Home Office
ORD0085,2023-08-19,CUST557,Jeans,Clothing,454.77,10,0.25,-28.48,North,Consumer
ORD0086,2023-06-30,CUST291,Bookshelf,Furniture,294.09,4,0.09,-1.59,East,Business
ORD0087,2024-04-20,CUST205,Printer,Office Supplies,197.22,5,0.12,22.03,North,Consumer
ORD0088,2024-08-03,CUST797,Smartphone,Electronics,257.93,2,0.22,-42.63,South,Consumer
ORD0089,2024-08-08,CUST205,Chair,Furniture,424.42,10,0.28,-72.13,South,Business
ORD0090,2024-03-20,CUST330,Jacket,Clothing,56.55,10,0.12,10.03,South,Consumer
ORD0091,2024-10-12,CUST722,Smartphone,Electronics,130.72,8,0.24,-2.91,North,Consumer
ORD0092,2023-03-10,CUST505,Bookshelf,Furniture,105.69,1,0.28,-2.34,West,Consumer
ORD0093,2023-10-13,CUST954,Shirt,Clothing,433.79,9,0.17,-12.09,South,Home Office
ORD0094,2024-11-04,CUST847,Bookshelf,Furniture,200.32,5,0.29,-8.1,West,Home Office
ORD0095,2024-03-27,CUST653,Headphones,Electronics,385.7,3,0.2,-20.02,West,Business
ORD0096,2024-09-13,CUST792,Pen,Office Supplies,301.17,5,0.04,77.17,North,Business
ORD0097,2024-08-02,CUST188,Printer,Office Supplies,313.83,6,0.21,-42.94,North,Consumer
ORD0098,2024-12-18,CUST624,Printer,Office Supplies,255.75,1,0.22,-25.31,South,Business
ORD0099,2023-11-15,CUST158,Jacket,Clothing,99.73,9,0.3,-15.62,West,Home Office
ORD0100,2024-12-21,CUST550,Chair,Furniture,371.12,5,0.15,29.33,East,Home Office
ORD0101,2024-02-08,CUST160,Chair,Furniture,411.21,2,0.15,-15.76,North,Consumer
ORD0102,2023-11-17,CUST437,Notebook,Office Supplies,375.69,7,0.26,-39.15,West,Home Office
ORD0103,2023-07-28,CUST938,Shirt,Clothing,204.01,9,0.04,3.46,South,Business
ORD0104,2024-02-10,CUST142,Printer,Office Supplies,321.93,8,0.29,-21.65,South,Consumer
ORD0105,2024-01-02,CUST279,Headphones,Electronics,281.25,2,0.29,-61.33,South,Consumer
ORD0106,2024-10-19,CUST539,Jeans,Clothing,121.12,9,0.01,33.63,West,Business
ORD0107,2023-08-28,CUST661,Printer,Office Supplies,247.8,1,0.05,56.8,West,Home Office
ORD0108,2023-03-23,CUST330,Pen,Office Supplies,201.85,5,0.01,13.6,North,Home Office
ORD0109,2024-02-20,CUST329,Jeans,Clothing,145.98,3,0.23,-22.79,South,Business
ORD0110,2023-05-07,CUST330,Chair,Furniture,206.5,9,0.14,13.22,West,Consumer
ORD0111,2023-10-27,CUST706,Headphones,Electronics,363.1,7,0.14,51.26,North,Consumer
ORD0112,2024-02-24,CUST423,Bookshelf,Furniture,323.95,9,0.25,-64.59,East,Business
ORD0113,2024-04-14,CUST473,Smartphone,Electronics,302.56,9,0.18,14.99,West,Home Office
ORD0114,2023-07-20,CUST177,Printer,Office Supplies,208.99,7,0.06,-0.53,East,Home Office
ORD0115,2024-08-12,CUST505,Bookshelf,Furniture,283.69,3,0.03,49.13,West,Business
ORD0116,2023-10-09,CUST786,Notebook,Office Supplies,364.99,5,0.15,-34.5,West,Home Office
ORD0117,2024-04-01,CUST782,Shirt,Clothing,369.63,7,0.23,-48.17,West,Home Office
ORD0118,2023-04-30,CUST365,Smartphone,Electronics,75.83,9,0.18,-2.14,West,Business
ORD0119,2023-05-02,CUST856,Smartphone,Electronics,133.17,10,0.02,27.42,South,Home Office
ORD0120,2024-01-20,CUST761,Jacket,Clothing,470.98,7,0.26,-35.74,North,Home Office
ORD0121,2024-03-11,CUST380,Printer,Office Supplies,312.28,8,0.01,78.97,East,Business
ORD0122,2023-12-19,CUST423,Notebook,Office Supplies,337.37,8,0.2,26.98,East,Consumer
ORD0123,2023-01-13,CUST542,Notebook,Office Supplies,302.34,3,0.03,66.74,East,Home Office
ORD0124,2024-12-22,CUST438,Shirt,Clothing,384.63,9,0.18,-22.18,East,Consumer
ORD0125,2024-02-01,CUST985,Jeans,Clothing,144.85,9,0.24,-15.89,West,Home Office
ORD0126,2023-08-22,CUST387,Laptop,Electronics,461.94,5,0.29,-67.64,West,Business
ORD0127,2024-03-12,CUST498,Jacket,Clothing,323.99,1,0.25,-27.67,East,Home Office
ORD0128,2023-10-17,CUST711,Shirt,Clothing,439.43,7,0.16,-23.28,West,Consumer
ORD0129,2023-06-03,CUST180,Table,Furniture,305.75,8,0.17,-24.88,West,Home Office
ORD0130,2024-03-19,CUST242,Pen,Office Supplies,227.23,4,0.1,39.33,South,Business
ORD0131,2024-11-24,CUST728,Jacket,Clothing,50.27,4,0.1,-1.02,South,Business
ORD0132,2023-06-12,CUST457,Printer,Office Supplies,118.19,1,0.1,19.2,South,Consumer
ORD0133,2024-05-28,CUST962,Bookshelf,Furniture,147.97,1,0.25,3.35,East,Business
ORD0134,2024-11-18,CUST602,Jeans,Clothing,309.33,8,0.27,-20.17,North,Business
ORD0135,2024-07-14,CUST840,Smartphone,Electronics,95.54,2,0.12,2.54,South,Business
ORD0136,2024-12-29,CUST498,Headphones,Electronics,282.41,9,0.12,23.75,West,Home Office
ORD0137,2024-09-02,CUST383,Table,Furniture,247.79,2,0.28,-50.13,North,Consumer
ORD0138,2024-01-25,CUST963,Laptop,Electronics,317.44,1,0.13,48.21,West,Consumer
ORD0139,2024-08-22,CUST784,Shirt,Clothing,306.01,5,0.24,0.7,East,Home Office
ORD0140,2024-02-05,CUST319,Laptop,Electronics,259.94,6,0.26,-40.53,East,Consumer
ORD0141,2024-07-18,CUST701,Jacket,Clothing,361.92,9,0.23,7.67,North,Consumer
ORD0142,2024-05-17,CUST639,Table,Furniture,195.68,10,0.11,15.8,North,Business
ORD0143,2023-08-24,CUST673,Shirt,Clothing,352.02,10,0.21,2.23,South,Home Office
ORD0144,2024-12-23,CUST279,Smartphone,Electronics,159.5,5,0.21,-16.62,South,Home Office
ORD0145,2023-01-05,CUST533,Table,Furniture,296.46,9,0.05,62.27,South,Business
ORD0146,2023-12-04,CUST584,Chair,Furniture,443.94,4,0.05,23.26,South,Home Office
ORD0147,2023-06-08,CUST917,Shirt,Clothing,110.44,4,0.06,23.39,East,Business
ORD0148,2024-08-02,CUST236,Printer,Office Supplies,475.81,4,0.14,-37.83,East,Consumer
ORD0149,2023-08-11,CUST139,Printer,Office Supplies,211.55,3,0.02,30.08,West,Consumer
ORD0150,2024-05-17,CUST581,Table,Furniture,249.13,6,0.05,25.33,West,Home Office
ORD0151,2023-01-05,CUST712,Jacket,Clothing,149.22,5,0.11,18.43,South,Business
ORD0152,2023-06-08,CUST601,Headphones,Electronics,185.67,9,0.18,-0.86,North,Business
ORD0153,2024-08-25,CUST941,Bookshelf,Furniture,436.0,4,0.28,-21.42,South,Business
ORD0154,2023-06-09,CUST865,Notebook,Office Supplies,52.37,6,0.22,-6.79,South,Home Office
ORD0155,2024-02-07,CUST229,Jacket,Clothing,375.33,5,0.14,47.49,North,Home Office
ORD0156,2024-09-28,CUST229,Pen,Office Supplies,185.31,10,0.11,-3.35,South,Consumer
ORD0157,2023-11-14,CUST706,Jeans,Clothing,174.24,9,0.02,6.88,West,Consumer
ORD0158,2024-10-30,CUST816,Jacket,Clothing,195.6,3,0.25,-17.09,North,Consumer
ORD0159,2023-09-11,CUST907,Table,Furniture,329.26,7,0.01,50.84,East,Business
ORD0160,2023-01-16,CUST302,Jacket,Clothing,268.6,10,0.04,60.91,West,Consumer
ORD0161,2023-11-22,CUST544,Notebook,Office Supplies,343.23,5,0.01,36.21,West,Home Office
ORD0162,2024-07-22,CUST334,Headphones,Electronics,54.23,10,0.05,12.51,West,Home Office
ORD0163,2023-01-15,CUST731,Notebook,Office Supplies,105.35,4,0.11,-1.32,South,Home Office
ORD0164,2024-07-19,CUST275,Laptop,Electronics,318.64,7,0.24,-22.7,West,Home Office
ORD0165,2024-10-20,CUST473,Jacket,Clothing,120.8,8,0.25,-15.98,East,Business
ORD0166,2024-06-02,CUST627,Laptop,Electronics,426.71,1,0.24,19.86,South,Home Office
ORD0167,2023-01-24,CUST815,Table,Furniture,412.82,2,0.01,61.69,South,Business
ORD0168,2024-08-12,CUST717,Shirt,Clothing,373.82,5,0.05,62.24,South,Consumer
ORD0169,2024-06-23,CUST921,Table,Furniture,245.64,5,0.1,0.82,West,Home Office
ORD0170,2023-02-26,CUST582,Chair,Furniture,72.62,3,0.02,3.8,North,Business
ORD0171,2024-07-06,CUST504,Pen,Office Supplies,420.85,2,0.22,-65.06,South,Home Office
ORD0172,2023-05-21,CUST847,Chair,Furniture,383.58,10,0.22,29.05,North,Consumer
ORD0173,2023-07-16,CUST710,Notebook,Office Supplies,389.62,5,0.08,84.47,North,Consumer
ORD0174,2024-04-25,CUST525,Notebook,Office Supplies,271.4,8,0.05,54.89,East,Business
ORD0175,2024-01-31,CUST822,Jacket,Clothing,222.51,10,0.12,10.53,North,Consumer
ORD0176,2023-08-16,CUST718,Chair,Furniture,173.32,10,0.2,-0.28,East,Consumer
ORD0177,2024-03-20,CUST784,Pen,Office Supplies,426.36,9,0.26,-11.39,West,Home Office
ORD0178,2024-01-01,CUST378,Printer,Office Supplies,162.16,9,0.18,-20.72,West,Consumer
ORD0179,2023-06-26,CUST159,Headphones,Electronics,296.37,9,0.15,10.35,West,Consumer
ORD0180,2024-05-21,CUST677,Pen,Office Supplies,129.89,5,0.23,1.63,North,Business
ORD0181,2024-08-19,CUST743,Shirt,Clothing,88.23,9,0.09,15.21,West,Business
ORD0182,2024-03-01,CUST744,Chair,Furniture,363.23,8,0.07,42.26,South,Consumer
ORD0183,2023-10-15,CUST446,Bookshelf,Furniture,465.57,1,0.07,41.24,West,Home Office
ORD0184,2023-03-27,CUST482,Printer,Office Supplies,52.63,1,0.09,2.12,West,Consumer
ORD0185,2023-07-08,CUST810,Smartphone,Electronics,230.64,6,0.03,37.27,East,Consumer
ORD0186,2024-07-14,CUST500,Jeans,Clothing,313.67,4,0.22,-43.72,North,Consumer
ORD0187,2023-03-17,CUST446,Smartphone,Electronics,430.01,1,0.04,59.54,West,Home Office
ORD0188,2023-09-22,CUST395,Printer,Office Supplies,369.79,4,0.24,-67.82,West,Consumer
ORD0189,2024-10-14,CUST143,Shirt,Clothing,389.54,3,0.03,60.08,North,Business
ORD0190,2024-06-15,CUST541,Bookshelf,Furniture,79.52,5,0.26,-7.59,East,Business
ORD0191,2023-03-05,CUST872,Notebook,Office Supplies,434.31,5,0.07,53.55,North,Consumer
ORD0192,2024-07-26,CUST922,Bookshelf,Furniture,459.64,6,0.21,-0.34,East,Home Office
ORD0193,2024-02-23,CUST112,Shirt,Clothing,380.48,2,0.15,-31.11,South,Consumer
ORD0194,2024-01-17,CUST496,Bookshelf,Furniture,170.21,10,0.22,-17.59,South,Business
ORD0195,2023-04-02,CUST924,Headphones,Electronics,96.6,10,0.18,-8.13,South,Home Office
ORD0196,2023-09-10,CUST450,Printer,Office Supplies,265.01,4,0.14,9.52,North,Consumer
ORD0197,2023-05-15,CUST878,Smartphone,Electronics,90.26,5,0.01,13.42,West,Home Office
ORD0198,2024-02-29,CUST231,Jacket,Clothing,99.68,8,0.02,10.12,West,Consumer
ORD0199,2023-07-29,CUST833,Bookshelf,Furniture,187.92,3,0.21,-6.58,West,Consumer
ORD0200,2023-11-20,CUST370,Notebook,Office Supplies,80.93,1,0.11,0.93,West,Consumer
ORD0201,2023-01-05,CUST702,Headphones,Electronics,314.45,4,0.01,49.3,North,Business
ORD0202,2024-03-28,CUST576,Headphones,Electronics,298.51,6,0.03,59.59,North,Consumer
ORD0203,2023-08-26,CUST371,Laptop,Electronics,317.5,10,0.25,-35.04,South,Business
ORD0204,2023-05-28,CUST219,Bookshelf,Furniture,102.13,5,0.1,18.15,North,Business
ORD0205,2023-01-25,CUST416,Laptop,Electronics,199.15,10,0.01,56.56,South,Business
ORD0206,2024-06-10,CUST127,Shirt,Clothing,75.07,3,0.12,1.0,South,Home Office
ORD0207,2024-11-22,CUST197,Chair,Furniture,106.17,8,0.04,23.64,North,Consumer
ORD0208,2023-04-28,CUST945,Laptop,Electronics,148.57,10,0.09,-5.63,West,Business
ORD0209,2024-09-13,CUST707,Printer,Office Supplies,221.11,5,0.15,16.54,South,Home Office
ORD0210,2024-08-18,CUST610,Laptop,Electronics,170.99,10,0.12,-10.22,East,Home Office
ORD0211,2023-09-27,CUST334,Jeans,Clothing,155.76,5,0.23,-3.72,West,Business
ORD0212,2023-12-03,CUST563,Jeans,Clothing,65.59,2,0.26,-2.47,South,Home Office
ORD0213,2024-03-04,CUST774,Jeans,Clothing,287.69,6,0.1,54.45,West,Consumer
ORD0214,2023-01-24,CUST304,Laptop,Electronics,466.66,2,0.22,-10.37,North,Business
ORD0215,2023-12-11,CUST803,Smartphone,Electronics,281.03,10,0.27,-26.27,West,Consumer
ORD0216,2024-06-07,CUST698,Jacket,Clothing,494.69,7,0.02,132.53,South,Consumer
ORD0217,2024-02-24,CUST126,Printer,Office Supplies,303.78,3,0.25,-1.84,West,Consumer
ORD0218,2023-03-18,CUST993,Table,Furniture,455.66,10,0.26,-44.6,West,Home Office
ORD0219,2023-08-17,CUST937,Pen,Office Supplies,74.38,10,0.18,-9.06,West,Home Office
ORD0220,2023-09-30,CUST519,Table,Furniture,83.98,2,0.01,7.25,South,Home Office
ORD0221,2023-08-07,CUST957,Notebook,Office Supplies,310.63,3,0.2,-35.63,South,Consumer
ORD0222,2024-05-14,CUST207,Jacket,Clothing,77.36,9,0.25,-12.98,South,Business
ORD0223,2023-06-19,CUST712,Chair,Furniture,387.78,3,0.0,32.59,South,Home Office
ORD0224,2023-05-30,CUST372,Jeans,Clothing,100.77,6,0.22,-13.51,North,Consumer
ORD0225,2024-11-18,CUST203,Printer,Office Supplies,254.01,3,0.15,-22.6,North,Business
ORD0226,2023-05-29,CUST467,Bookshelf,Furniture,197.75,6,0.13,19.67,North,Consumer
ORD0227,2023-01-04,CUST284,Shirt,Clothing,59.51,2,0.23,1.48,South,Consumer
ORD0228,2024-10-30,CUST222,Headphones,Electronics,402.85,2,0.18,-2.3,West,Business
ORD0229,2023-02-02,CUST494,Jacket,Clothing,471.94,1,0.04,42.81,West,Consumer
ORD0230,2024-05-01,CUST969,Jeans,Clothing,309.39,7,0.03,12.09,West,Business
ORD0231,2023-09-27,CUST970,Bookshelf,Furniture,253.22,5,0.17,-29.57,East,Home Office
ORD0232,2023-07-04,CUST975,Table,Furniture,473.94,3,0.28,-55.76,North,Consumer
ORD0233,2023-02-01,CUST260,Pen,Office Supplies,325.49,8,0.24,-51.41,South,Business
ORD0234,2024-03-03,CUST546,Jacket,Clothing,170.36,1,0.24,-2.83,West,Business
ORD0235,2024-04-24,CUST455,Shirt,Clothing,136.92,1,0.13,0.68,South,Business
ORD0236,2023-07-31,CUST366,Chair,Furniture,153.59,10,0.03,37.74,East,Consumer
ORD0237,2023-03-26,CUST785,Smartphone,Electronics,289.25,4,0.17,-34.38,East,Home Office
ORD0238,2024-07-08,CUST107,Pen,Office Supplies,93.09,2,0.22,-12.33,North,Consumer
ORD0239,2024-01-28,CUST163,Chair,Furniture,63.82,6,0.05,15.5,East,Home Office
ORD0240,2024-01-06,CUST211,Jacket,Clothing,320.88,1,0.14,0.0,North,Business
ORD0241,2024-03-01,CUST464,Shirt,Clothing,96.91,1,0.04,21.94,North,Consumer
ORD0242,2024-10-28,CUST280,Bookshelf,Furniture,195.67,10,0.21,-11.27,East,Business
ORD0243,2023-08-24,CUST341,Shirt,Clothing,361.41,2,0.21,-11.3,South,Consumer
ORD0244,2024-06-30,CUST243,Chair,Furniture,445.82,5,0.18,-33.86,West,Business
ORD0245,2023-09-19,CUST197,Chair,Furniture,367.06,10,0.21,-46.79,West,Home Office
ORD0246,2024-09-14,CUST284,Table,Furniture,489.69,5,0.02,87.42,West,Business
ORD0247,2023-07-10,CUST472,Laptop,Electronics,284.55,5,0.16,2.75,East,Home Office
ORD0248,2024-09-22,CUST511,Jeans,Clothing,139.62,2,0.26,-2.72,West,Business
ORD0249,2024-04-19,CUST449,Table,Furniture,217.08,7,0.03,10.36,North,Home Office
ORD0250,2023-04-12,CUST855,Laptop,Electronics,413.73,1,0.08,50.92,South,Consumer
ORD0251,2024-10-08,CUST629,Jacket,Clothing,424.82,6,0.16,-15.2,South,Consumer
ORD0252,2023-01-05,CUST996,Jacket,Clothing,106.5,7,0.26,-18.32,South,Consumer
ORD0253,2024-07-06,CUST731,Laptop,Electronics,391.88,6,0.27,11.13,South,Business
ORD0254,2023-03-18,CUST187,Printer,Office Supplies,409.09,5,0.27,-67.44,North,Consumer
ORD0255,2024-11-08,CUST565,Printer,Office Supplies,380.48,2,0.06,80.62,South,Home Office
ORD0256,2023-04-19,CUST727,Pen,Office Supplies,224.15,7,0.12,-7.16,North,Home Office
ORD0257,2024-01-15,CUST521,Smartphone,Electronics,328.43,5,0.13,28.41,South,Home Office
ORD0258,2023-07-06,CUST636,Notebook,Office Supplies,383.98,8,0.06,1.32,West,Business
ORD0259,2024-02-27,CUST990,Printer,Office Supplies,377.84,3,0.29,-55.38,East,Business
ORD0260,2024-11-28,CUST216,Jacket,Clothing,62.92,2,0.24,3.46,East,Consumer
ORD0261,2024-10-13,CUST715,Bookshelf,Furniture,476.28,8,0.04,62.11,East,Consumer
ORD0262,2024-03-24,CUST193,Pen,Office Supplies,72.7,10,0.06,12.52,West,Consumer
ORD0263,2024-12-18,CUST298,Bookshelf,Furniture,429.36,4,0.24,-65.59,East,Consumer
ORD0264,2024-12-31,CUST261,Smartphone,Electronics,245.76,4,0.28,-51.25,North,Home Office
ORD0265,2024-07-07,CUST315,Bookshelf,Furniture,464.96,4,0.05,29.8,South,Consumer
ORD0266,2024-12-02,CUST655,Bookshelf,Furniture,410.02,3,0.08,64.16,North,Home Office
ORD0267,2024-03-03,CUST154,Jacket,Clothing,345.19,10,0.3,-33.09,North,Business
ORD0268,2023-10-23,CUST705,Headphones,Electronics,79.02,10,0.01,15.81,East,Business
ORD0269,2024-03-14,CUST883,Printer,Office Supplies,407.42,5,0.08,-10.76,North,Consumer
ORD0270,2024-09-17,CUST810,Laptop,Electronics,457.47,4,0.25,-59.88,North,Consumer
ORD0271,2024-07-03,CUST126,Table,Furniture,259.25,1,0.19,-25.92,South,Consumer
ORD0272,2023-11-07,CUST425,Pen,Office Supplies,272.14,7,0.23,-42.62,East,Home Office
ORD0273,2024-10-04,CUST123,Notebook,Office Supplies,211.36,1,0.01,22.09,South,Home Office
ORD0274,2023-01-10,CUST323,Printer,Office Supplies,285.67,3,0.16,-25.63,North,Home Office
ORD0275,2023-06-30,CUST798,Jacket,Clothing,265.81,9,0.22,-29.8,East,Business
ORD0276,2023-03-19,CUST198,Table,Furniture,104.42,5,0.26,-15.18,West,Home Office
ORD0277,2023-12-24,CUST953,Shirt,Clothing,94.61,2,0.24,-7.79,North,Business
ORD0278,2024-10-10,CUST213,Chair,Furniture,435.36,2,0.07,-2.74,South,Consumer
ORD0279,2024-11-29,CUST786,Laptop,Electronics,194.46,3,0.26,-28.61,West,Home Office
ORD0280,2024-02-28,CUST429,Smartphone,Electronics,404.85,6,0.09,37.55,East,Consumer
ORD0281,2024-10-25,CUST546,Notebook,Office Supplies,200.13,10,0.24,-8.04,South,Home Office
ORD0282,2024-11-12,CUST471,Smartphone,Electronics,62.72,5,0.12,1.15,South,Home Office
